iter	Passed	Remaining
0	147	147155
1	151	75564
2	155	51549
3	160	40015
4	164	32831
5	168	27950
6	172	24478
7	176	21889
8	180	19830
9	183	18190
10	187	16899
11	191	15762
12	195	14827
13	199	14042
14	204	13414
15	207	12771
16	211	12234
17	215	11766
18	219	11329
19	223	10943
20	226	10577
21	230	10263
22	234	9962
23	237	9672
24	241	9403
25	245	9180
26	248	8964
27	252	8762
28	255	8571
29	260	8422
30	264	8272
31	267	8105
32	271	7952
33	275	7835
34	279	7713
35	283	7579
36	286	7462
37	291	7374
38	294	7260
39	297	7148
40	301	7048
41	305	6968
42	308	6870
43	311	6776
44	315	6692
45	319	6627
46	323	6555
47	326	6474
48	330	6409
49	334	6346
50	337	6276
51	340	6207
52	343	6143
53	347	6089
54	350	6028
55	354	5969
56	357	5908
57	360	5861
58	365	5826
59	368	5778
60	372	5734
61	376	5698
62	379	5651
63	383	5609
64	387	5577
65	393	5564
66	396	5526
67	400	5482
68	403	5445
69	407	5413
70	410	5377
71	414	5338
72	417	5304
73	421	5279
74	425	5248
75	428	5214
76	432	5189
77	437	5170
78	441	5142
79	444	5114
80	448	5085
81	452	5062
82	454	5017
83	457	4991
84	461	4969
85	465	4951
86	469	4926
87	473	4902
88	476	4881
89	480	4862
90	484	4837
91	487	4812
92	491	4790
93	495	4777
94	499	4762
95	503	4742
96	507	4724
97	511	4706
98	514	4683
99	518	4664
100	522	4647
101	526	4633
102	530	4619
103	533	4598
104	537	4578
105	541	4567
106	545	4549
107	548	4529
108	551	4511
109	555	4495
110	559	4480
111	561	4453
112	563	4426
113	566	4405
114	569	4380
115	572	4359
116	573	4330
117	575	4305
118	578	4279
119	580	4255
120	582	4230
121	585	4210
122	588	4195
123	591	4179
124	595	4169
125	599	4160
126	603	4148
127	607	4139
128	611	4126
129	614	4115
130	619	4107
131	622	4092
132	626	4084
133	631	4078
134	635	4071
135	639	4063
136	643	4050
137	647	4046
138	652	4041
139	656	4030
140	660	4025
141	663	4008
142	666	3995
143	670	3985
144	674	3978
145	678	3971
146	682	3961
147	686	3949
148	690	3942
149	694	3935
150	698	3924
151	701	3915
152	706	3912
153	710	3902
154	714	3894
155	718	3886
156	722	3877
157	724	3863
158	727	3848
159	730	3835
160	734	3828
161	738	3820
162	742	3811
163	746	3804
164	750	3796
165	754	3788
166	757	3779
167	761	3770
168	765	3763
169	769	3758
170	773	3751
171	777	3740
172	780	3733
173	784	3724
174	787	3714
175	791	3704
176	794	3696
177	798	3688
178	801	3677
179	805	3670
180	809	3663
181	813	3656
182	816	3647
183	820	3636
184	823	3628
185	827	3621
186	831	3614
187	835	3607
188	839	3600
189	842	3593
190	846	3584
191	849	3576
192	853	3568
193	857	3563
194	861	3556
195	865	3548
196	869	3545
197	873	3539
198	877	3530
199	880	3522
200	884	3517
201	889	3512
202	893	3506
203	896	3499
204	901	3495
205	905	3488
206	908	3480
207	911	3472
208	915	3465
209	919	3459
210	923	3452
211	926	3444
212	930	3437
213	933	3430
214	937	3421
215	940	3413
216	944	3406
217	948	3402
218	952	3395
219	955	3388
220	959	3381
221	963	3375
222	966	3368
223	969	3359
224	973	3351
225	977	3348
226	981	3341
227	984	3333
228	987	3326
229	993	3327
230	998	3322
231	1002	3317
232	1006	3313
233	1011	3311
234	1017	3313
235	1022	3311
236	1027	3306
237	1032	3304
238	1037	3303
239	1041	3299
240	1048	3300
241	1052	3297
242	1056	3292
243	1064	3296
244	1070	3299
245	1077	3301
246	1083	3301
247	1085	3291
248	1087	3281
249	1090	3270
250	1093	3263
251	1097	3258
252	1100	3249
253	1102	3238
254	1105	3229
255	1107	3219
256	1110	3209
257	1112	3200
258	1115	3192
259	1118	3184
260	1121	3176
261	1125	3170
262	1128	3161
263	1131	3155
264	1134	3146
265	1137	3138
266	1140	3130
267	1142	3121
268	1145	3113
269	1148	3104
270	1150	3095
271	1153	3087
272	1157	3081
273	1159	3072
274	1162	3063
275	1164	3055
276	1167	3048
277	1171	3042
278	1174	3034
279	1176	3025
280	1179	3017
281	1182	3010
282	1185	3004
283	1188	2996
284	1192	2990
285	1195	2984
286	1199	2980
287	1204	2977
288	1207	2971
289	1211	2966
290	1216	2963
291	1221	2960
292	1225	2956
293	1229	2952
294	1232	2946
295	1235	2938
296	1238	2930
297	1240	2921
298	1242	2914
299	1245	2906
300	1247	2897
301	1249	2888
302	1252	2881
303	1254	2872
304	1257	2864
305	1259	2855
306	1261	2847
307	1263	2838
308	1265	2829
309	1267	2820
310	1269	2812
311	1271	2803
312	1274	2797
313	1276	2789
314	1279	2782
315	1282	2775
316	1284	2768
317	1287	2761
318	1290	2754
319	1292	2747
320	1295	2739
321	1298	2733
322	1300	2726
323	1303	2720
324	1308	2716
325	1311	2711
326	1315	2706
327	1318	2702
328	1322	2698
329	1325	2692
330	1329	2686
331	1332	2681
332	1336	2676
333	1339	2671
334	1342	2664
335	1345	2658
336	1349	2654
337	1352	2648
338	1355	2642
339	1358	2637
340	1361	2632
341	1365	2627
342	1368	2621
343	1372	2617
344	1376	2613
345	1381	2610
346	1385	2607
347	1389	2602
348	1393	2599
349	1397	2595
350	1401	2591
351	1404	2586
352	1408	2581
353	1412	2577
354	1415	2571
355	1418	2566
356	1421	2561
357	1425	2557
358	1429	2551
359	1432	2546
360	1435	2541
361	1440	2538
362	1443	2533
363	1448	2530
364	1451	2525
365	1456	2522
366	1459	2517
367	1462	2512
368	1466	2507
369	1470	2504
370	1474	2499
371	1477	2494
372	1480	2489
373	1484	2485
374	1488	2480
375	1491	2475
376	1495	2470
377	1499	2466
378	1503	2463
379	1506	2458
380	1510	2453
381	1513	2449
382	1517	2444
383	1520	2439
384	1524	2434
385	1528	2431
386	1532	2426
387	1535	2422
388	1538	2417
389	1542	2413
390	1547	2409
391	1550	2405
392	1554	2400
393	1557	2395
394	1561	2391
395	1564	2386
396	1567	2381
397	1571	2376
398	1576	2373
399	1579	2369
400	1583	2365
401	1586	2359
402	1591	2356
403	1594	2352
404	1597	2347
405	1601	2342
406	1604	2338
407	1608	2333
408	1611	2328
409	1614	2323
410	1617	2318
411	1621	2314
412	1624	2309
413	1628	2304
414	1631	2300
415	1635	2296
416	1639	2291
417	1642	2286
418	1645	2281
419	1648	2276
420	1652	2272
421	1655	2267
422	1659	2263
423	1662	2259
424	1666	2254
425	1669	2249
426	1672	2244
427	1676	2240
428	1680	2236
429	1683	2232
430	1687	2227
431	1690	2222
432	1693	2217
433	1697	2213
434	1700	2209
435	1704	2204
436	1707	2199
437	1711	2195
438	1714	2190
439	1717	2185
440	1720	2181
441	1723	2176
442	1727	2171
443	1730	2166
444	1733	2162
445	1737	2157
446	1740	2153
447	1744	2149
448	1747	2144
449	1751	2140
450	1754	2135
451	1758	2131
452	1761	2127
453	1765	2123
454	1769	2119
455	1774	2117
456	1778	2113
457	1781	2108
458	1785	2104
459	1789	2100
460	1792	2095
461	1795	2090
462	1799	2087
463	1803	2083
464	1806	2078
465	1810	2074
466	1813	2069
467	1817	2065
468	1820	2061
469	1824	2057
470	1828	2053
471	1832	2049
472	1835	2045
473	1838	2040
474	1841	2035
475	1845	2031
476	1848	2027
477	1852	2022
478	1855	2018
479	1860	2015
480	1864	2011
481	1867	2007
482	1870	2002
483	1875	1999
484	1879	1995
485	1882	1991
486	1885	1986
487	1888	1981
488	1893	1978
489	1897	1974
490	1900	1969
491	1903	1965
492	1907	1962
493	1912	1959
494	1916	1954
495	1919	1950
496	1923	1946
497	1926	1942
498	1929	1937
499	1933	1933
500	1937	1930
501	1941	1925
502	1945	1921
503	1948	1917
504	1951	1913
505	1955	1909
506	1959	1904
507	1962	1900
508	1965	1896
509	1969	1892
510	1973	1888
511	1976	1883
512	1979	1879
513	1983	1875
514	1987	1871
515	1990	1866
516	1993	1862
517	1996	1858
518	2000	1854
519	2004	1849
520	2007	1845
521	2010	1841
522	2014	1837
523	2017	1832
524	2020	1828
525	2023	1823
526	2026	1819
527	2031	1815
528	2034	1811
529	2037	1806
530	2040	1802
531	2044	1798
532	2048	1794
533	2051	1790
534	2055	1786
535	2059	1782
536	2062	1778
537	2066	1774
538	2069	1769
539	2072	1765
